id,subject,ground_truth,predicted,correct,initial_answer
questao_01,Languages,A,A,True,A
questao_02,Languages,A,D,False,D
questao_03,Languages,C,C,True,A
questao_04,Languages,E,D,False,A
questao_05,Languages,A,A,True,B
questao_06,Languages,C,D,False,C
questao_07,Languages,B,B,True,B
questao_08,Languages,E,E,True,E
questao_09,Languages,D,A,False,A
questao_10,Languages,A,A,True,A
questao_11,Languages,D,D,True,D
questao_12,Languages,E,E,True,E
questao_13,Languages,E,E,True,E
questao_14,Languages,B,B,True,B
questao_15,Languages,D,D,True,D
questao_16,Languages,D,D,True,D
questao_17,Languages,B,B,True,B
questao_18,Languages,D,D,True,D
questao_19,Languages,B,B,True,B
questao_20,Languages,B,B,True,B
questao_21,Languages,C,D,False,D
questao_22,Languages,E,A,False,A
questao_23,Languages,E,E,True,E
questao_24,Languages,C,B,False,B
questao_25,Languages,B,B,True,B
questao_26,Languages,D,C,False,C
questao_27,Languages,C,C,True,C
questao_28,Languages,B,C,False,E
questao_29,Languages,A,D,False,D
questao_30,Languages,D,D,True,D
questao_31,Languages,D,D,True,D
questao_32,Languages,D,D,True,D
questao_33,Languages,C,A,False,A
questao_34,Languages,B,B,True,B
questao_35,Languages,D,D,True,D
questao_36,Languages,E,E,True,E
questao_37,Languages,D,D,True,D
questao_38,Languages,D,D,True,D
questao_39,Languages,C,C,True,C
questao_40,Languages,E,E,True,E
questao_41,Languages,C,C,True,C
questao_42,Languages,B,B,True,B
questao_43,Languages,E,E,True,E
questao_44,Languages,C,C,True,C
questao_45,Languages,E,E,True,E
questao_46,Human Sciences,A,A,True,A
questao_47,Human Sciences,C,C,True,C
questao_48,Human Sciences,B,B,True,B
questao_49,Human Sciences,C,C,True,C
questao_50,Human Sciences,A,A,True,A
questao_51,Human Sciences,D,D,True,D
questao_52,Human Sciences,C,C,True,C
questao_53,Human Sciences,E,E,True,E
questao_54,Human Sciences,D,B,False,D
questao_55,Human Sciences,B,B,True,B
questao_56,Human Sciences,A,A,True,A
questao_57,Human Sciences,E,E,True,E
questao_58,Human Sciences,C,C,True,C
questao_59,Human Sciences,E,E,True,E
questao_60,Human Sciences,D,D,True,D
questao_61,Human Sciences,A,A,True,A
questao_62,Human Sciences,D,D,True,D
questao_63,Human Sciences,B,B,True,B
questao_64,Human Sciences,A,A,True,A
questao_65,Human Sciences,D,D,True,D
questao_66,Human Sciences,B,A,False,B
questao_67,Human Sciences,E,E,True,E
questao_68,Human Sciences,B,B,True,B
questao_69,Human Sciences,C,C,True,C
questao_70,Human Sciences,D,D,True,D
questao_71,Human Sciences,A,A,True,A
questao_72,Human Sciences,D,B,False,B
questao_73,Human Sciences,A,A,True,A
questao_74,Human Sciences,B,B,True,B
questao_75,Human Sciences,C,C,True,C
questao_76,Human Sciences,D,D,True,D
questao_77,Human Sciences,E,E,True,E
questao_78,Human Sciences,A,A,True,E
questao_79,Human Sciences,B,B,True,B
questao_80,Human Sciences,C,C,True,C
